Task,who id,what id,Related association,Due date,Task sub type,description,Status,Priority
task 992,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 993,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 994,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 995,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 996,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 997,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 998,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 999,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1000,,,0013C00000mXBfsQAG,11/7/2022,task,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1001,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1002,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1003,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1004,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1005,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1006,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1007,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1008,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1009,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1010,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1011,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1012,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1013,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1014,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1015,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1016,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1017,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1018,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1019,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1020,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1021,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1022,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1023,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1024,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1025,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1026,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1027,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1028,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1029,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1030,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1031,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1032,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1033,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1034,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1035,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1036,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1037,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1038,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1039,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1040,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1041,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1042,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1043,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1044,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1045,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1046,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1047,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1048,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1049,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1050,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1051,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1052,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1053,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1054,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1055,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1056,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1057,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1058,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1059,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1060,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1061,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1062,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1063,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1064,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1065,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1066,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1067,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1068,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1069,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1070,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1071,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1072,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1073,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1074,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1075,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1076,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1077,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1078,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1079,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1080,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1081,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1082,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1083,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1084,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1085,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1086,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1087,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1088,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1089,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1090,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1091,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1092,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1093,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1094,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1095,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1096,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1097,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1098,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1099,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1100,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1101,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1102,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1103,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1104,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1105,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1106,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1107,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1108,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1109,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1110,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1111,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1112,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1113,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1114,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1115,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1116,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1117,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1118,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1119,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1120,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1121,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1122,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1123,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1124,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1125,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1126,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1127,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1128,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1129,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1130,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1131,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1132,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1133,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1134,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1135,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1136,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1137,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1138,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1139,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1140,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1141,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1142,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1143,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1144,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1145,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1146,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1147,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1148,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1149,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1150,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1151,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1152,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1153,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1154,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1155,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1156,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1157,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1158,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1159,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1160,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1161,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1162,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1163,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1164,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1165,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1166,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1167,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1168,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1169,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1170,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1171,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1172,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1173,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1174,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1175,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1176,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1177,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1178,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1179,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1180,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1181,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1182,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1183,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1184,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1185,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1186,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1187,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1188,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1189,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1190,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1191,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1192,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1193,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1194,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1195,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1196,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1197,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1198,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1199,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1200,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1201,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1202,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1203,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1204,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1205,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1206,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1207,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1208,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1209,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1210,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1211,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1212,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1213,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1214,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1215,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1216,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1217,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1218,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1219,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1220,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1221,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1222,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1223,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1224,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1225,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1226,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1227,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1228,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1229,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1230,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
task 1231,,,0013C00000mXBfsQAG,11/7/2022,call,"max, martha , pothos should be assigned with the deal",In-progress,Normal
